City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,fada,7.25,4.0667,295.98,93,59,0.74,NG,1731278985
120,bozoum,6.3193,16.3799,293.64,52,50,0.87,CF,1731278986
121,utrik,11.2278,169.8474,301.53,77,2,9.37,MH,1731278989
122,chulym,55.0997,80.9572,269.18,96,100,4.45,RU,1731278990
123,alotau,-10.3069,150.4462,301.83,74,100,1.91,PG,1731278991
124,ribeira grande,38.5167,-28.7,294.14,80,18,9.83,PT,1731278992
125,sur,22.5667,59.5289,299.33,55,0,2.88,OM,1731278943
126,hamilton,39.1834,-84.5333,291.16,92,100,5.14,US,1731278994
127,blackmans bay,-43.0167,147.3167,287.89,63,1,0.45,AU,1731278995
128,guatire,10.4762,-66.5427,296.06,97,100,0.6,VE,1731278996
129,sinabang,2.4803,96.3801,299.14,87,100,0.88,ID,1731278997
130,piti village,13.4626,144.6933,302.21,87,20,6.17,GU,1731278998
131,wailua homesteads,22.0669,-159.378,299.59,83,100,6.17,US,1731279000
132,rongelap,11.1635,166.8941,301.36,79,42,9.12,MH,1731279001
133,port moresby,-9.4431,147.1797,300.83,78,75,2.57,PG,1731278793
134,hermanus,-34.4187,19.2345,285.82,83,83,3.93,ZA,1731279003
135,nova sintra,14.8667,-24.7167,299.78,74,95,9.02,CV,1731279004
136,xichang,27.8964,102.2634,283.13,92,11,0.41,CN,1731279005
137,bilibino,68.0546,166.4372,253.41,100,98,0.18,RU,1731279006
138,antofagasta,-23.65,-70.4,291.75,87,15,2.25,CL,1731278874
139,goondiwindi,-28.55,150.3167,300.8,56,96,5.48,AU,1731279008
140,quatre cocos,-20.2078,57.7625,298.21,88,99,4.51,MU,1731279009
141,tazovsky,67.4667,78.7,260.13,93,100,7.84,RU,1731278750
142,huarmey,-10.0681,-78.1522,292.98,79,32,3.44,PE,1731279012
143,aasiaat,68.7098,-52.8699,262.74,99,90,2.18,GL,1731279013
144,the pas,53.8251,-101.2541,275.16,93,75,3.09,CA,1731278975
145,qamdo,31.1667,97.2333,270.35,54,0,1.94,CN,1731279015
146,brookings,44.3114,-96.7984,284.36,87,40,5.66,US,1731278857
147,guozhen,34.3659,107.359,286.49,79,95,0.39,CN,1731279017
148,ilulissat,69.2167,-51.1,268.16,74,93,1.54,GL,1731279018
149,zalingei,12.9096,23.4741,296.86,26,100,3.65,SD,1731279019
150,iskateley,67.6803,53.1512,264.31,93,18,3.12,RU,1731279020
151,tangalle,6.024,80.7911,297.8,92,57,2.23,LK,1731279021
152,port lincoln,-34.7333,135.8667,290.52,79,85,5.25,AU,1731279022
153,tralee,52.2704,-9.7026,280.44,94,92,1.37,IE,1731279023
154,kikwit,-5.041,18.8162,292.96,99,69,0.06,CD,1731279025
155,funtua,11.5233,7.3081,293.09,30,47,3.76,NG,1731279026
156,sao joao da barra,-21.6403,-41.0511,296.2,79,84,4.67,BR,1731279027
157,eyl,7.9803,49.8164,299.53,76,98,7.05,SO,1731279028
158,polyarnyy,69.1989,33.4478,274.81,72,99,5.66,RU,1731278782
159,presidente olegario,-18.4178,-46.4181,293.69,86,14,1.74,BR,1731279030
160,robertsport,6.7533,-11.3686,300.21,81,8,3.13,LR,1731279031
161,anadyr,64.75,177.4833,264.43,85,40,2.0,RU,1731279033
162,saki,8.6667,3.3833,296.05,42,3,1.12,NG,1731279034
163,carnarvon,-24.8667,113.6333,293.8,66,75,11.05,AU,1731279035
164,goz beida,13.95,20.55,298.3,25,58,3.64,TD,1731279037
165,kokkola,63.8385,23.1307,272.24,93,100,3.6,FI,1731279038
166,ornskoldsvik,63.2909,18.7153,276.68,93,75,2.57,SE,1731279039
